"Casner Consolidated, LLC",3330 Legacy Dr,TX,Frisco,750346063
Ll711 Partners Llc &,4420 Legacy Dr,TX,Frisco,750346627
I & L Deveolopment Co,5601 Lemmon Ave,TX,Dallas,75209
Mobil Oil Corp & Brooklyn,1333 E Lindsey St,OK,Norman,73071
"7-Eleven, Inc.",4901 Little Rd,TX,Arlington,76017
SEJ Asset Management & Investment Company,2101 Long Prairie Rd,TX,Flower Mound,750224830
,3700 Long Prairie Rd,TX,Flower Mound,75028
"7-Eleven, Inc.",4150 N Loop 1604 W,TX,San Antonio,78231
"7-Eleven, Inc.",5123 W Lovers Ln,TX,Dallas,752093331
"Premjee, Inc.",9351 Lyndon B Johnson Fwy,TX,Dallas,752433403
Richard A Berghella,11405 Lyndon B Johnson Fwy,TX,Garland,75041
"7-Eleven, Inc.",5100 N Macarthur Blvd,OK,Oklahoma City,73122
Exxon Mobil Corp,5420 N Macarthur Blvd,TX,Irving,750383103
Brooklyn Company,2021 S Macarthur Blvd,OK,Oklahoma City,73128
,100 E Main St,TX,Crowley,76036
,101 E Main St,TX,Crowley,760362647
Walker Benjamin H The Jr,1600 E Main St,TX,Allen,750024480
Speedy Stop Food Stores LLC,2604 N Main St,TX,Victoria,779013823
Skinnys Inc,540 S Main St,TX,Trent,795614144
"Southland Corp, The",1302 W Main St,TX,Lewisville,75067
SEJ Asset Management & Inv Co,6306 Manchaca Rd,TX,Austin,78745
"7-Eleven, Inc.",3716 Maple Ave,TX,Dallas,75219
Daniel B. Jones,1634 Market Center Blvd,TX,Dallas,75207
SEJ Asset Management & Inv Co,302 N Marsalis Ave,TX,Dallas,752031714
"7-Eleven, Inc.",2230 Marsh Ln,TX,Carrollton,75006
Mpc Properties Ltd,9998 Marsh Ln,TX,Dallas,752201710
"7-Eleven, Inc.",8101 Matlock Rd,TX,Arlington,760024102
Rogers Elouise,7928 N May Ave,OK,Oklahoma City,73120
"7-Eleven, Inc.",6809 S May Ave,OK,Oklahoma City,73159
"7-Eleven, Inc.",1713 N Mays St,TX,Round Rock,786642914
The Southland Corporation,1801 S Mays St,TX,Round Rock,786647530
SEJ Asset Management & Inv Co,6251 Mccart Ave,TX,Fort Worth,761334228
Chadive Sridhar,6501 Mccart Ave,TX,Fort Worth,761335631
William & Leigh Duff,1223 Mccormick St,TX,Denton,762017038
"McDermott Square, L.P.",2961 McDermott Rd,TX,Plano,750255017
Donald W & Louticia Breihan,1004 W Mcdermott Dr,TX,Allen,750136300
Mkt Inc,1516 E McKinney St,TX,Denton,76209
"7-Eleven, Inc.",3975 Mckinney Ranch Pky,TX,McKinney,75070
Massland Properties Corp,600 Mcneil Rd,TX,Round Rock,786816703
National Retail Properties LP,7615 Mcpherson Rd,TX,Laredo,780416516
